iter	Passed	Remaining
472	1049	1168
473	1051	1166
474	1054	1165
475	1059	1166
476	1061	1163
477	1063	1161
478	1065	1158
479	1067	1155
480	1068	1153
481	1072	1152
482	1074	1150
483	1076	1147
484	1078	1145
485	1080	1142
486	1082	1140
487	1084	1137
488	1087	1135
489	1088	1133
490	1090	1130
491	1092	1127
492	1094	1125
493	1095	1122
494	1097	1119
495	1099	1116
496	1102	1115
497	1103	1112
498	1105	1109
499	1107	1107
500	1108	1104
501	1110	1101
502	1111	1098
503	1113	1095
504	1116	1094
505	1118	1092
506	1120	1089
507	1121	1086
508	1123	1083
509	1128	1083
510	1132	1083
511	1134	1081
512	1136	1078
513	1138	1076
514	1140	1074
515	1142	1071
516	1147	1071
517	1149	1069
518	1151	1067
519	1153	1065
520	1155	1062
521	1157	1059
522	1160	1058
523	1162	1055
524	1164	1053
525	1166	1050
526	1168	1048
527	1170	1046
528	1173	1044
529	1177	1043
530	1179	1041
531	1180	1038
532	1182	1036
533	1184	1033
534	1187	1031
535	1190	1030
536	1192	1028
537	1194	1025
538	1195	1022
539	1197	1020
540	1199	1017
541	1201	1015
542	1204	1013
543	1206	1011
544	1209	1009
545	1210	1006
546	1212	1004
547	1215	1002
548	1217	999
549	1220	998
550	1222	996
551	1224	994
552	1227	991
553	1229	989
554	1231	987
555	1233	985
556	1236	983
557	1239	981
558	1242	980
559	1244	978
560	1247	976
561	1253	976
562	1256	975
563	1260	974
564	1262	972
565	1266	970
566	1269	969
567	1272	967
568	1274	965
569	1277	963
570	1281	962
571	1284	961
572	1287	959
573	1290	957
574	1292	955
575	1298	955
576	1301	953
577	1303	951
578	1306	949
579	1309	948
580	1313	946
581	1315	944
582	1317	942
583	1320	940
584	1322	938
585	1326	937
586	1329	935
587	1331	932
588	1333	930
589	1335	928
590	1337	925
591	1341	924
592	1344	922
593	1347	920
594	1349	918
595	1351	916
596	1353	913
597	1357	912
598	1360	910
599	1363	908
600	1365	906
601	1367	904
602	1370	902
603	1372	900
604	1374	897
605	1377	895
606	1379	893
607	1381	890
608	1384	889
609	1387	887
610	1389	884
611	1392	883
612	1395	880
613	1397	878
614	1401	877
615	1404	875
616	1407	873
617	1409	871
618	1411	868
619	1415	867
620	1417	865
621	1420	863
622	1422	860
623	1424	858
624	1427	856
625	1430	854
626	1433	852
627	1435	850
628	1438	848
629	1440	845
630	1442	843
631	1446	842
632	1448	839
633	1451	837
634	1453	835
635	1455	832
636	1457	830
637	1460	828
638	1462	826
639	1465	824
640	1467	821
641	1469	819
642	1472	817
643	1475	815
644	1478	813
645	1481	811
646	1483	809
647	1486	807
648	1488	805
649	1492	803
650	1495	801
651	1497	799
652	1500	797
653	1502	795
654	1506	793
655	1508	791
656	1511	789
657	1515	787
658	1517	785
659	1523	784
660	1526	782
661	1528	780
662	1531	778
663	1533	775
664	1536	774
665	1540	772
666	1542	770
667	1545	767
668	1547	765
669	1551	764
670	1553	761
671	1556	759
672	1559	757
673	1561	755
674	1565	753
675	1569	752
676	1572	750
677	1574	747
678	1577	745
679	1580	743
680	1582	741
681	1585	739
682	1587	736
683	1589	734
684	1592	732
685	1596	730
686	1599	728
687	1602	726
688	1604	724
689	1607	722
690	1610	719
691	1614	718
692	1617	716
693	1619	714
694	1622	711
695	1625	709
696	1630	708
697	1632	706
698	1634	703
699	1637	701
700	1640	699
701	1643	697
702	1646	695
703	1648	693
704	1651	690
705	1653	688
706	1657	687
707	1660	684
708	1662	682
709	1664	679
710	1666	677
711	1669	675
712	1672	673
713	1674	670
714	1677	668
715	1679	666
716	1681	663
717	1685	662
718	1688	659
719	1690	657
720	1692	654
721	1694	652
722	1697	650
723	1700	648
724	1703	645
725	1705	643
726	1707	641
727	1709	638
728	1711	636
729	1714	634
730	1716	631
731	1718	629
732	1720	626
733	1722	624
734	1725	621
735	1727	619
736	1730	617
737	1732	615
738	1734	612
739	1737	610
740	1739	608
741	1741	605
742	1744	603
743	1746	601
744	1748	598
745	1750	596
746	1752	593
747	1754	591
748	1757	588
749	1759	586
750	1762	584
751	1764	581
752	1766	579
753	1768	576
754	1770	574
755	1773	572
756	1775	569
757	1777	567
758	1779	564
759	1781	562
760	1783	560
761	1785	557
762	1787	555
763	1790	553
764	1792	550
765	1794	548
766	1796	545
767	1798	543
768	1800	540
769	1803	538
770	1805	536
771	1807	533
772	1809	531
773	1811	528
774	1813	526
775	1815	524
776	1818	521
777	1820	519
778	1822	517
779	1824	514
780	1826	512
781	1828	509
782	1830	507
783	1832	504
784	1834	502
785	1836	499
786	1838	497
787	1839	495
788	1842	492
789	1844	490
790	1846	487
791	1849	485
792	1851	483
793	1853	480
794	1856	478
795	1858	476
796	1860	473
797	1863	471
798	1866	469
799	1868	467
800	1870	464
801	1872	462
802	1874	459
803	1877	457
804	1880	455
805	1883	453
806	1885	450
807	1887	448
808	1889	446
809	1893	444
810	1895	441
811	1897	439
812	1899	436
813	1901	434
814	1903	432
815	1905	429
816	1908	427
817	1910	425
818	1913	422
819	1915	420
820	1917	418
821	1920	415
822	1923	413
823	1925	411
824	1928	408
825	1929	406
826	1931	404
827	1933	401
828	1935	399
829	1939	397
830	1941	394
831	1943	392
832	1945	390
833	1947	387
834	1949	385
835	1951	382
836	1954	380
837	1956	378
838	1958	375
839	1960	373
840	1962	371
841	1964	368
842	1967	366
843	1970	364
844	1972	361
845	1974	359
846	1976	356
847	1978	354
848	1980	352
849	1984	350
850	1986	347
851	1987	345
852	1989	342
853	1991	340
854	1992	337
855	1994	335
856	1996	333
857	1998	330
858	2000	328
859	2002	325
860	2003	323
861	2005	321
862	2006	318
863	2008	316
864	2009	313
865	2011	311
866	2013	308
867	2015	306
868	2018	304
869	2043	305
870	2046	303
871	2047	300
872	2051	298
873	2054	296
874	2056	293
875	2059	291
876	2061	289
877	2064	286
878	2066	284
879	2069	282
880	2071	279
881	2076	277
882	2078	275
883	2082	273
884	2086	271
885	2100	270
886	2103	267
887	2107	265
888	2110	263
889	2113	261
890	2116	258
891	2121	256
892	2123	254
893	2126	252
894	2129	249
895	2132	247
896	2136	245
897	2139	242
898	2141	240
899	2144	238
900	2150	236
901	2152	233
902	2155	231
903	2157	229
904	2165	227
905	2169	225
906	2172	222
907	2178	220
908	2187	218
909	2195	217
910	2198	214
911	2201	212
912	2205	210
913	2213	208
914	2216	205
915	2218	203
916	2221	201
917	2225	198
918	2227	196
919	2231	194
920	2235	191
921	2237	189
922	2240	186
923	2242	184
924	2245	182
925	2247	179
926	2252	177
927	2256	175
928	2258	172
929	2261	170
930	2263	167
931	2266	165
932	2270	163
933	2275	160
934	2277	158
935	2281	156
936	2285	153
937	2289	151
938	2293	148
939	2298	146
940	2302	144
941	2305	141
942	2308	139
943	2310	137
944	2313	134
945	2316	132
946	2319	129
947	2322	127
948	2325	124
949	2329	122
950	2331	120
951	2334	117
952	2337	115
953	2342	112
954	2346	110
955	2350	108
956	2352	105
957	2356	103
958	2359	100
959	2362	98
960	2365	95
961	2368	93
962	2372	91
963	2375	88
964	2378	86
965	2380	83
966	2383	81
967	2389	79
968	2393	76
969	2396	74
970	2400	71
971	2403	69
972	2406	66
973	2410	64
974	2412	61
975	2417	59
976	2420	56
977	2423	54
978	2425	52
979	2428	49
980	2434	47
981	2438	44
982	2441	42
983	2444	39
984	2447	37
985	2450	34
986	2453	32
987	2457	29
988	2462	27
989	2465	24
990	2468	22
991	2471	19
992	2474	17
993	2479	14
994	2481	12
995	2484	9
996	2488	7
997	2493	4
998	2495	2
999	2498	0
